"date","hits","keyword","geo","time","gprop","category"
2024-08-01,33,"Trump","US","2024-08-01 2024-11-04","web",0
2024-08-02,24,"Trump","US","2024-08-01 2024-11-04","web",0
2024-08-03,23,"Trump","US","2024-08-01 2024-11-04","web",0
2024-08-04,21,"Trump","US","2024-08-01 2024-11-04","web",0
2024-08-05,18,"Trump","US","2024-08-01 2024-11-04","web",0
2024-08-06,20,"Trump","US","2024-08-01 2024-11-04","web",0
2024-08-07,21,"Trump","US","2024-08-01 2024-11-04","web",0
2024-08-08,24,"Trump","US","2024-08-01 2024-11-04","web",0
2024-08-09,22,"Trump","US","2024-08-01 2024-11-04","web",0
2024-08-10,25,"Trump","US","2024-08-01 2024-11-04","web",0
2024-08-11,22,"Trump","US","2024-08-01 2024-11-04","web",0
2024-08-12,23,"Trump","US","2024-08-01 2024-11-04","web",0
2024-08-13,35,"Trump","US","2024-08-01 2024-11-04","web",0
2024-08-14,22,"Trump","US","2024-08-01 2024-11-04","web",0
2024-08-15,19,"Trump","US","2024-08-01 2024-11-04","web",0
2024-08-16,18,"Trump","US","2024-08-01 2024-11-04","web",0
2024-08-17,19,"Trump","US","2024-08-01 2024-11-04","web",0
2024-08-18,18,"Trump","US","2024-08-01 2024-11-04","web",0
2024-08-19,20,"Trump","US","2024-08-01 2024-11-04","web",0
2024-08-20,24,"Trump","US","2024-08-01 2024-11-04","web",0
2024-08-21,28,"Trump","US","2024-08-01 2024-11-04","web",0
2024-08-22,28,"Trump","US","2024-08-01 2024-11-04","web",0
2024-08-23,31,"Trump","US","2024-08-01 2024-11-04","web",0
2024-08-24,27,"Trump","US","2024-08-01 2024-11-04","web",0
2024-08-25,22,"Trump","US","2024-08-01 2024-11-04","web",0
2024-08-26,20,"Trump","US","2024-08-01 2024-11-04","web",0
2024-08-27,20,"Trump","US","2024-08-01 2024-11-04","web",0
2024-08-28,20,"Trump","US","2024-08-01 2024-11-04","web",0
2024-08-29,23,"Trump","US","2024-08-01 2024-11-04","web",0
2024-08-30,21,"Trump","US","2024-08-01 2024-11-04","web",0
2024-08-31,19,"Trump","US","2024-08-01 2024-11-04","web",0
2024-09-01,17,"Trump","US","2024-08-01 2024-11-04","web",0
2024-09-02,16,"Trump","US","2024-08-01 2024-11-04","web",0
2024-09-03,15,"Trump","US","2024-08-01 2024-11-04","web",0
2024-09-04,19,"Trump","US","2024-08-01 2024-11-04","web",0
2024-09-05,20,"Trump","US","2024-08-01 2024-11-04","web",0
2024-09-06,19,"Trump","US","2024-08-01 2024-11-04","web",0
2024-09-07,17,"Trump","US","2024-08-01 2024-11-04","web",0
2024-09-08,16,"Trump","US","2024-08-01 2024-11-04","web",0
2024-09-09,17,"Trump","US","2024-08-01 2024-11-04","web",0
2024-09-10,26,"Trump","US","2024-08-01 2024-11-04","web",0
2024-09-11,83,"Trump","US","2024-08-01 2024-11-04","web",0
2024-09-12,36,"Trump","US","2024-08-01 2024-11-04","web",0
2024-09-13,31,"Trump","US","2024-08-01 2024-11-04","web",0
2024-09-14,27,"Trump","US","2024-08-01 2024-11-04","web",0
2024-09-15,81,"Trump","US","2024-08-01 2024-11-04","web",0
2024-09-16,63,"Trump","US","2024-08-01 2024-11-04","web",0
2024-09-17,31,"Trump","US","2024-08-01 2024-11-04","web",0
2024-09-18,27,"Trump","US","2024-08-01 2024-11-04","web",0
2024-09-19,25,"Trump","US","2024-08-01 2024-11-04","web",0
2024-09-20,21,"Trump","US","2024-08-01 2024-11-04","web",0
2024-09-21,20,"Trump","US","2024-08-01 2024-11-04","web",0
2024-09-22,18,"Trump","US","2024-08-01 2024-11-04","web",0
2024-09-23,18,"Trump","US","2024-08-01 2024-11-04","web",0
2024-09-24,19,"Trump","US","2024-08-01 2024-11-04","web",0
2024-09-25,18,"Trump","US","2024-08-01 2024-11-04","web",0
2024-09-26,17,"Trump","US","2024-08-01 2024-11-04","web",0
2024-09-27,18,"Trump","US","2024-08-01 2024-11-04","web",0
2024-09-28,16,"Trump","US","2024-08-01 2024-11-04","web",0
2024-09-29,18,"Trump","US","2024-08-01 2024-11-04","web",0
2024-09-30,17,"Trump","US","2024-08-01 2024-11-04","web",0
2024-10-01,18,"Trump","US","2024-08-01 2024-11-04","web",0
2024-10-02,21,"Trump","US","2024-08-01 2024-11-04","web",0
2024-10-03,20,"Trump","US","2024-08-01 2024-11-04","web",0
2024-10-04,21,"Trump","US","2024-08-01 2024-11-04","web",0
2024-10-05,22,"Trump","US","2024-08-01 2024-11-04","web",0
2024-10-06,21,"Trump","US","2024-08-01 2024-11-04","web",0
2024-10-07,17,"Trump","US","2024-08-01 2024-11-04","web",0
2024-10-08,19,"Trump","US","2024-08-01 2024-11-04","web",0
2024-10-09,18,"Trump","US","2024-08-01 2024-11-04","web",0
2024-10-10,18,"Trump","US","2024-08-01 2024-11-04","web",0
2024-10-11,22,"Trump","US","2024-08-01 2024-11-04","web",0
2024-10-12,22,"Trump","US","2024-08-01 2024-11-04","web",0
2024-10-13,25,"Trump","US","2024-08-01 2024-11-04","web",0
2024-10-14,25,"Trump","US","2024-08-01 2024-11-04","web",0
2024-10-15,28,"Trump","US","2024-08-01 2024-11-04","web",0
2024-10-16,25,"Trump","US","2024-08-01 2024-11-04","web",0
2024-10-17,23,"Trump","US","2024-08-01 2024-11-04","web",0
2024-10-18,25,"Trump","US","2024-08-01 2024-11-04","web",0
2024-10-19,24,"Trump","US","2024-08-01 2024-11-04","web",0
2024-10-20,28,"Trump","US","2024-08-01 2024-11-04","web",0
2024-10-21,32,"Trump","US","2024-08-01 2024-11-04","web",0
2024-10-22,27,"Trump","US","2024-08-01 2024-11-04","web",0
2024-10-23,31,"Trump","US","2024-08-01 2024-11-04","web",0
2024-10-24,31,"Trump","US","2024-08-01 2024-11-04","web",0
2024-10-25,36,"Trump","US","2024-08-01 2024-11-04","web",0
2024-10-26,41,"Trump","US","2024-08-01 2024-11-04","web",0
2024-10-27,43,"Trump","US","2024-08-01 2024-11-04","web",0
2024-10-28,49,"Trump","US","2024-08-01 2024-11-04","web",0
2024-10-29,43,"Trump","US","2024-08-01 2024-11-04","web",0
2024-10-30,39,"Trump","US","2024-08-01 2024-11-04","web",0
2024-10-31,41,"Trump","US","2024-08-01 2024-11-04","web",0
2024-11-01,40,"Trump","US","2024-08-01 2024-11-04","web",0
2024-11-02,44,"Trump","US","2024-08-01 2024-11-04","web",0
2024-11-03,44,"Trump","US","2024-08-01 2024-11-04","web",0
2024-11-04,52,"Trump","US","2024-08-01 2024-11-04","web",0
2024-08-01,20,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-08-02,14,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-08-03,12,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-08-04,11,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-08-05,11,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-08-06,23,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-08-07,14,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-08-08,10,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-08-09,9,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
