Day,Donald Trump,Kamala Harris,Election
8/1/2024,35,20,5
8/2/2024,25,13,5
8/3/2024,24,12,3
8/4/2024,22,11,3
8/5/2024,19,11,4
8/6/2024,22,23,7
8/7/2024,24,14,13
8/8/2024,25,10,6
8/9/2024,24,9,5
8/10/2024,28,8,4
8/11/2024,23,8,4
8/12/2024,25,8,5
8/13/2024,37,7,6
8/14/2024,23,6,8
8/15/2024,20,6,4
8/16/2024,19,7,4
8/17/2024,20,6,3
8/18/2024,19,6,3
8/19/2024,20,6,4
8/20/2024,25,10,6
8/21/2024,28,12,8
8/22/2024,28,11,6
8/23/2024,35,27,7
8/24/2024,27,9,5
8/25/2024,21,7,4
8/26/2024,20,6,5
8/27/2024,21,6,5
8/28/2024,21,5,5
8/29/2024,24,7,4
8/30/2024,22,10,4
8/31/2024,20,5,3
9/1/2024,18,4,3
9/2/2024,17,5,4
9/3/2024,16,4,4
9/4/2024,19,4,5
9/5/2024,20,4,5
9/6/2024,19,4,4
9/7/2024,17,4,3
9/8/2024,16,4,3
9/9/2024,17,4,5
9/10/2024,28,6,5
9/11/2024,88,29,12
9/12/2024,39,12,7
9/13/2024,33,9,6
9/14/2024,27,7,5
9/15/2024,84,7,5
9/16/2024,66,5,5
9/17/2024,32,5,7
9/18/2024,30,5,6
9/19/2024,25,5,6
9/20/2024,21,6,5
9/21/2024,20,6,5
9/22/2024,18,6,5
9/23/2024,18,5,6
9/24/2024,20,5,6
9/25/2024,19,6,5
9/26/2024,17,5,5
9/27/2024,18,4,5
9/28/2024,17,4,4
9/29/2024,19,5,4
9/30/2024,18,4,5
10/1/2024,19,4,6
10/2/2024,22,5,8
10/3/2024,20,4,7
10/4/2024,21,4,7
10/5/2024,23,4,5
10/6/2024,21,5,6
10/7/2024,18,5,8
10/8/2024,18,7,9
10/9/2024,19,5,8
10/10/2024,19,4,7
10/11/2024,22,4,7
10/12/2024,22,4,6
10/13/2024,26,5,7
10/14/2024,26,5,9
10/15/2024,30,6,11
10/16/2024,26,8,11
10/17/2024,25,10,12
10/18/2024,27,7,11
10/19/2024,25,6,10
10/20/2024,32,8,11
10/21/2024,34,8,15
10/22/2024,29,7,16
10/23/2024,35,7,16
10/24/2024,34,9,18
10/25/2024,37,8,18
10/26/2024,41,8,15
10/27/2024,45,8,17
10/28/2024,51,8,25
10/29/2024,45,11,27
10/30/2024,41,10,29
10/31/2024,43,7,29
11/1/2024,42,8,33
11/2/2024,45,8,33
11/3/2024,47,13,46
11/4/2024,56,14,100
